src:port,sep,dst:port,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
76.178.78.215:53863,<->,89.183.104.141:http-alt,0,0,115,54959,115,54959,0.002944000,1.9715
105.104.5.199:56303,<->,39.48.2.224:domain,0,0,114,7036,114,7036,0.010138000,0.9405
194.220.68.39:51171,<->,246.253.253.210:https,0,0,110,17142,110,17142,0.015170000,1.9712
89.183.104.159:54251,<->,100.188.51.6:48319,109,121099,0,0,109,121099,0.020284000,1.9651
149.110.19.113:28773,<->,89.183.104.148:13261,0,0,105,151580,105,151580,0.525680000,1.2333
204.43.169.138:58817,<->,246.253.253.210:https,0,0,105,16565,105,16565,0.013499000,1.9775
149.193.32.35:26800,<->,102.51.78.239:12656,0,0,104,131456,104,131456,0.023613000,1.9108
200.174.209.33:37954,<->,102.72.16.148:22356,104,150432,0,0,104,150432,0.008944000,1.9721
204.42.246.7:61095,<->,246.253.253.208:https,0,0,103,16315,103,16315,0.011226000,1.9804
192.64.235.125:61477,<->,127.161.224.79:13047,103,14960,0,0,103,14960,0.003200000,1.9962
50.128.200.204:16402,<->,139.69.162.189:swr-port,102,13908,0,0,102,13908,0.015260000,1.9801
204.42.167.55:63851,<->,246.253.253.210:https,0,0,101,15857,101,15857,0.002039000,1.9954
111.146.189.146:64534,<->,132.227.248.61:https,101,16017,0,0,101,16017,0.000883000,1.9856
144.93.121.10:62066,<->,159.46.201.24:26428,101,20604,0,0,101,20604,0.000312000,1.9979
144.93.120.177:57858,<->,144.93.121.48:43288,0,0,100,20400,100,20400,0.019936000,1.9800
144.93.121.48:40336,<->,144.93.120.177:8774,100,20400,0,0,100,20400,0.019862000,1.9801
144.93.120.177:48816,<->,144.93.121.86:31530,0,0,100,20400,100,20400,0.019729000,1.9800
144.93.120.177:51370,<->,144.93.121.86:33090,0,0,100,20400,100,20400,0.019729000,1.9800
144.93.121.86:36268,<->,144.93.120.28:13710,100,20400,0,0,100,20400,0.019473000,1.9800
144.93.121.86:59612,<->,144.93.120.177:9180,100,20400,0,0,100,20400,0.019336000,1.9800
144.93.121.83:62090,<->,159.46.201.109:14744,100,20400,0,0,100,20400,0.019046000,1.9800
144.93.121.10:16304,<->,144.93.120.177:8314,100,20400,0,0,100,20400,0.018926000,1.9800
98.198.84.28:28600,<->,144.93.121.83:rtsp-alt,0,0,100,20400,100,20400,0.018886000,1.9800
144.93.121.10:42188,<->,144.93.120.177:28728,100,20400,0,0,100,20400,0.018805000,1.9800
144.93.121.48:47672,<->,144.93.120.177:9054,100,20400,0,0,100,20400,0.018738000,1.9800
144.93.120.177:46484,<->,144.93.121.50:37340,0,0,100,20400,100,20400,0.018584000,1.9800
144.93.121.10:32130,<->,144.93.120.177:23854,100,20400,0,0,100,20400,0.018574000,1.9800
144.93.125.49:50024,<->,144.93.121.86:29426,0,0,100,20400,100,20400,0.018570000,1.9800
144.93.121.86:33152,<->,144.93.120.177:27854,100,20400,0,0,100,20400,0.018539000,1.9800
144.93.121.10:63532,<->,144.93.120.177:50894,100,20400,0,0,100,20400,0.018370000,1.9800
144.93.121.48:60832,<->,144.93.120.177:23816,100,20400,0,0,100,20400,0.017968000,1.9800
144.93.120.177:60662,<->,144.93.121.10:29822,0,0,100,20400,100,20400,0.017943000,1.9800
144.93.120.177:20576,<->,144.93.121.10:9040,0,0,100,20400,100,20400,0.017935000,1.9800
