src:port,sep,dst:port,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
20.123.2.65:13027,<->,195.69.43.52:domain,1,74,0,0,1,74,1.707061000,0.0000
136.25.188.105:21946,<->,135.228.158.61:domain,1,268,0,0,1,268,1.706875000,0.0000
215.158.103.219:62086,<->,138.127.224.38:domain,1,355,0,0,1,355,1.706557000,0.0000
144.108.80.170:44960,<->,159.69.187.18:domain,0,0,1,66,1,66,1.705981000,0.0000
136.25.188.105:63614,<->,128.243.151.33:domain,1,140,0,0,1,140,1.705817000,0.0000
144.93.121.86:55587,<->,113.171.246.29:28635,1,56,0,0,1,56,1.705348000,0.0000
124.30.39.58:46380,<->,92.27.219.42:17292,0,0,1,116,1,116,1.705196000,0.0000
144.75.218.246:24330,<->,8.222.218.197:domain,1,122,0,0,1,122,1.705161000,0.0000
20.129.44.50:62158,<->,116.226.161.204:domain,1,68,0,0,1,68,1.705074000,0.0000
114.145.64.123:45573,<->,129.224.112.252:domain,0,0,1,83,1,83,1.704519000,0.0000
144.75.218.235:43958,<->,138.127.230.84:domain,1,366,0,0,1,366,1.704485000,0.0000
8.240.125.22:43771,<->,246.254.97.149:domain,0,0,1,93,1,93,1.703835000,0.0000
144.75.218.242:22916,<->,138.127.225.15:domain,1,373,0,0,1,373,1.702926000,0.0000
144.75.218.242:59727,<->,8.222.218.199:domain,1,123,0,0,1,123,1.702334000,0.0000
144.75.218.241:64562,<->,131.65.15.83:domain,1,141,0,0,1,141,1.702332000,0.0000
21.15.226.126:55104,<->,20.193.21.174:netbios-ns,0,0,1,82,1,82,1.701998000,0.0000
144.75.218.241:49672,<->,8.222.218.196:domain,1,153,0,0,1,153,1.701713000,0.0000
102.50.96.106:57219,<->,205.37.52.56:43664,1,351,0,0,1,351,1.701197000,0.0000
144.75.218.246:trim-event,<->,8.222.218.197:domain,1,122,0,0,1,122,1.701127000,0.0000
80.40.37.166:62469,<->,132.60.99.180:domain,1,84,0,0,1,84,1.701106000,0.0000
111.146.146.108:41973,<->,136.47.66.197:ntp,1,80,0,0,1,80,1.700959000,0.0000
144.75.218.241:12740,<->,8.222.218.196:domain,1,110,0,0,1,110,1.700779000,0.0000
144.75.218.241:46809,<->,8.222.218.204:domain,1,110,0,0,1,110,1.700743000,0.0000
146.220.125.81:54670,<->,129.224.112.252:domain,0,0,1,90,1,90,1.700702000,0.0000
144.108.64.179:47088,<->,144.122.240.202:domain,0,0,1,71,1,71,1.700314000,0.0000
92.27.219.185:50657,<->,67.240.227.196:13185,1,62,0,0,1,62,1.700173000,0.0000
144.75.218.237:12415,<->,138.127.224.104:domain,1,278,0,0,1,278,1.699263000,0.0000
200.226.80.179:11506,<->,129.92.113.143:chargen,0,0,1,50,1,50,1.699017000,0.0000
192.252.224.95:45747,<->,136.181.50.99:10983,0,0,1,293,1,293,1.698522000,0.0000
136.25.188.105:64100,<->,63.73.200.51:domain,1,137,0,0,1,137,1.698072000,0.0000
136.25.188.164:57029,<->,139.252.1.244:domain,1,184,0,0,1,184,1.696757000,0.0000
136.25.188.105:59174,<->,140.136.9.105:domain,1,251,0,0,1,251,1.696448000,0.0000
65.44.36.70:4771,<->,98.67.131.97:domain,0,0,1,68,1,68,1.696028000,0.0000
99.75.239.34:55555,<->,117.155.169.79:55383,1,100,0,0,1,100,1.695792000,0.0000
144.75.218.242:trustestablish,<->,8.222.218.196:domain,1,153,0,0,1,153,1.695371000,0.0000
144.93.125.38:51317,<->,144.93.121.10:14129,0,0,1,104,1,104,1.695364000,0.0000
144.75.218.237:56211,<->,53.149.3.155:domain,1,81,0,0,1,81,1.695269000,0.0000
247.136.152.230:34732,<->,104.50.172.179:11888,1,344,0,0,1,344,1.694925000,0.0000
144.75.218.237:16996,<->,138.127.225.148:domain,1,366,0,0,1,366,1.694922000,0.0000
97.242.126.198:snifferserver,<->,129.224.112.252:domain,0,0,1,71,1,71,1.694833000,0.0000
144.75.218.246:37569,<->,138.127.224.104:domain,1,304,0,0,1,304,1.694534000,0.0000
200.226.80.179:ivecon-port,<->,129.92.113.143:chargen,0,0,1,50,1,50,1.694499000,0.0000
64.253.134.141:17598,<->,159.25.30.7:emfis-data,0,0,1,52,1,52,1.694110000,0.0000
192.64.238.102:14143,<->,110.4.15.52:bacula-dir,1,353,0,0,1,353,1.693813000,0.0000
89.139.241.98:41615,<->,132.43.156.56:domain,1,167,0,0,1,167,1.693305000,0.0000
144.108.80.170:39549,<->,159.69.187.55:domain,0,0,1,64,1,64,1.693212000,0.0000
144.75.218.241:pq-lic-mgmt,<->,116.126.255.82:domain,1,89,0,0,1,89,1.692707000,0.0000
144.75.218.242:17702,<->,8.222.218.207:domain,1,154,0,0,1,154,1.692682000,0.0000
27.188.163.162:i-net-2000-npr,<->,109.1.16.50:sip,0,0,1,447,1,447,1.692565000,0.0000
102.51.52.249:32826,<->,93.137.103.10:30023,1,629,0,0,1,629,1.691955000,0.0000
144.75.218.233:29850,<->,8.222.218.196:domain,1,110,0,0,1,110,1.691037000,0.0000
144.75.218.237:26220,<->,120.155.84.97:domain,1,148,0,0,1,148,1.690780000,0.0000
135.81.77.209:64496,<->,92.27.219.216:39396,0,0,1,135,1,135,1.690155000,0.0000
80.42.177.161:26248,<->,230.80.188.183:8689,1,133,0,0,1,133,1.690142000,0.0000
159.28.159.6:60687,<->,129.224.112.252:domain,0,0,1,89,1,89,1.689552000,0.0000
20.135.157.252:38896,<->,141.21.158.209:domain,1,74,0,0,1,74,1.689312000,0.0000
144.75.218.235:44711,<->,138.127.230.78:domain,1,365,0,0,1,365,1.689285000,0.0000
136.25.188.105:32272,<->,199.20.220.230:domain,1,139,0,0,1,139,1.689182000,0.0000
144.75.218.237:32519,<->,8.222.218.199:domain,1,154,0,0,1,154,1.688851000,0.0000
89.86.110.252:57258,<->,136.25.189.86:domain,0,0,1,83,1,83,1.688744000,0.0000
101.176.22.220:48908,<->,144.122.240.242:domain,0,0,1,87,1,87,1.688197000,0.0000
77.47.138.255:17176,<->,247.157.201.195:13222,0,0,1,133,1,133,1.688022000,0.0000
131.144.248.251:12939,<->,129.224.112.252:domain,0,0,1,74,1,74,1.687811000,0.0000
104.136.71.239:m2mservices,<->,102.51.73.163:6889,0,0,1,149,1,149,1.687695000,0.0000
144.75.218.237:42020,<->,8.47.123.78:domain,1,132,0,0,1,132,1.686266000,0.0000
0.200.50.50:34233,<->,20.13.110.223:domain,0,0,1,60,1,60,1.685928000,0.0000
144.75.218.237:29445,<->,138.127.231.62:domain,1,289,0,0,1,289,1.685315000,0.0000
20.191.230.158:6895,<->,18.195.16.153:domain,1,140,0,0,1,140,1.684715000,0.0000
144.75.218.242:41907,<->,8.222.218.207:domain,1,122,0,0,1,122,1.684444000,0.0000
144.75.218.246:7134,<->,8.222.218.199:domain,1,124,0,0,1,124,1.684299000,0.0000
92.27.219.226:51413,<->,80.233.117.143:38028,1,52,0,0,1,52,1.684263000,0.0000
144.75.218.237:51701,<->,8.222.218.198:domain,1,110,0,0,1,110,1.684166000,0.0000
61.95.120.154:61473,<->,34.106.38.67:24297,0,0,1,52,1,52,1.683807000,0.0000
:::57499,<->,:::domain,1,159,0,0,1,159,1.683325000,0.0000
145.16.29.114:61507,<->,138.127.230.158:domain,1,301,0,0,1,301,1.683145000,0.0000
109.1.25.177:20417,<->,27.87.88.245:13226,1,135,0,0,1,135,1.682964000,0.0000
38.227.135.0:51041,<->,92.27.27.165:26606,0,0,1,52,1,52,1.682658000,0.0000
129.34.166.15:7034,<->,101.224.183.195:domain,0,0,1,86,1,86,1.681802000,0.0000
144.75.218.235:53610,<->,138.127.225.15:domain,1,328,0,0,1,328,1.681748000,0.0000
82.165.200.247:52096,<->,80.40.41.29:4433,0,0,1,52,1,52,1.681562000,0.0000
230.91.97.101:22133,<->,92.181.151.40:6889,0,0,1,94,1,94,1.681089000,0.0000
21.15.226.126:55104,<->,20.193.21.16:netbios-ns,0,0,1,82,1,82,1.680878000,0.0000
144.76.43.246:45330,<->,80.56.78.128:domain,0,0,1,113,1,113,1.680314000,0.0000
89.183.104.178:19784,<->,135.241.174.242:15785,1,135,0,0,1,135,1.679966000,0.0000
144.75.218.237:38771,<->,8.222.218.207:domain,1,181,0,0,1,181,1.679561000,0.0000
136.25.188.105:52363,<->,140.136.9.105:domain,1,140,0,0,1,140,1.679529000,0.0000
215.158.2.49:59043,<->,80.56.78.92:domain,0,0,1,87,1,87,1.678554000,0.0000
159.240.189.205:6422,<->,159.69.187.44:domain,0,0,1,67,1,67,1.678423000,0.0000
144.75.218.235:41649,<->,138.127.224.190:domain,1,242,0,0,1,242,1.678348000,0.0000
144.75.218.246:38481,<->,139.252.1.219:domain,1,87,0,0,1,87,1.677961000,0.0000
144.75.218.241:58895,<->,138.127.230.247:domain,1,345,0,0,1,345,1.677820000,0.0000
39.42.64.37:51701,<->,104.241.56.221:18132,1,92,0,0,1,92,1.677744000,0.0000
192.64.193.89:43194,<->,206.55.150.194:26807,1,135,0,0,1,135,1.677706000,0.0000
80.38.62.126:37323,<->,129.19.157.66:domain,1,130,0,0,1,130,1.676854000,0.0000
20.40.80.181:49411,<->,114.250.29.227:10046,1,84,0,0,1,84,1.676724000,0.0000
20.241.43.58:56718,<->,143.125.33.18:domain,1,75,0,0,1,75,1.676693000,0.0000
144.75.218.242:10218,<->,8.222.218.199:domain,1,122,0,0,1,122,1.676656000,0.0000
136.25.189.210:57068,<->,144.72.25.37:domain,1,140,0,0,1,140,1.676646000,0.0000
144.75.218.246:7888,<->,139.252.1.242:domain,1,121,0,0,1,121,1.675172000,0.0000
144.75.218.246:26948,<->,8.222.218.197:domain,1,122,0,0,1,122,1.674679000,0.0000
132.7.214.52:43045,<->,80.41.31.9:42606,0,0,1,169,1,169,1.674669000,0.0000
144.75.218.237:48146,<->,8.222.218.198:domain,1,110,0,0,1,110,1.674232000,0.0000
144.75.218.233:56932,<->,8.222.218.204:domain,1,110,0,0,1,110,1.673396000,0.0000
144.75.218.241:62652,<->,8.222.218.196:domain,1,158,0,0,1,158,1.672881000,0.0000
249.101.211.150:43786,<->,193.21.29.234:23466,1,342,0,0,1,342,1.672597000,0.0000
144.75.218.242:65111,<->,8.222.218.207:domain,1,123,0,0,1,123,1.672483000,0.0000
20.223.116.61:43498,<->,119.95.205.11:domain,1,531,0,0,1,531,1.672274000,0.0000
144.75.218.233:54516,<->,8.222.218.197:domain,1,110,0,0,1,110,1.672240000,0.0000
50.128.49.96:29683,<->,230.115.138.250:12885,1,130,0,0,1,130,1.671525000,0.0000
38.246.57.185:25756,<->,92.27.219.60:25675,0,0,1,52,1,52,1.671381000,0.0000
54.39.40.181:51900,<->,48.53.8.41:51156,0,0,1,52,1,52,1.671117000,0.0000
109.205.55.54:34188,<->,136.25.189.95:domain,0,0,1,84,1,84,1.671076000,0.0000
136.25.188.105:49840,<->,135.88.171.34:domain,1,234,0,0,1,234,1.670518000,0.0000
98.67.155.114:39418,<->,26.215.169.221:domain,1,294,0,0,1,294,1.669211000,0.0000
247.136.220.79:48319,<->,199.12.111.105:1024,1,86,0,0,1,86,1.668593000,0.0000
21.15.226.126:55104,<->,20.193.22.96:netbios-ns,0,0,1,82,1,82,1.668488000,0.0000
92.27.219.204:46392,<->,132.208.70.62:domain,1,647,0,0,1,647,1.667852000,0.0000
144.108.64.179:43507,<->,144.122.240.210:domain,0,0,1,73,1,73,1.667824000,0.0000
59.32.3.142:43611,<->,34.175.70.188:28837,0,0,1,52,1,52,1.667346000,0.0000
144.75.218.242:44860,<->,138.127.225.202:domain,1,281,0,0,1,281,1.666801000,0.0000
144.75.218.246:54023,<->,138.127.230.199:domain,1,156,0,0,1,156,1.666622000,0.0000
99.74.26.170:55188,<->,138.127.229.105:domain,1,202,0,0,1,202,1.665107000,0.0000
39.246.50.147:52312,<->,59.48.50.193:domain,1,75,0,0,1,75,1.665038000,0.0000
92.27.219.244:36461,<->,137.68.202.255:31017,1,52,0,0,1,52,1.664473000,0.0000
45.144.219.2:43013,<->,56.121.61.107:domain,0,0,1,78,1,78,1.664457000,0.0000
21.15.226.126:55104,<->,20.193.22.105:netbios-ns,0,0,1,82,1,82,1.663848000,0.0000
100.94.21.80:50373,<->,195.79.196.122:41490,1,52,0,0,1,52,1.663512000,0.0000
144.75.218.242:13928,<->,8.222.218.199:domain,1,124,0,0,1,124,1.663322000,0.0000
92.27.8.182:65160,<->,207.52.161.205:domain,1,137,0,0,1,137,1.663129000,0.0000
144.75.218.233:53641,<->,114.145.99.171:domain,1,252,0,0,1,252,1.662982000,0.0000
144.75.218.242:21979,<->,8.222.218.199:domain,1,109,0,0,1,109,1.662676000,0.0000
29.157.34.92:34752,<->,20.96.230.181:16609,0,0,1,65,1,65,1.662671000,0.0000
210.158.44.36:15637,<->,129.148.253.17:domain,1,248,0,0,1,248,1.662387000,0.0000
144.75.218.241:19929,<->,8.222.218.204:domain,1,121,0,0,1,121,1.662238000,0.0000
144.75.218.242:16711,<->,8.222.218.199:domain,1,121,0,0,1,121,1.661947000,0.0000
144.108.64.179:16046,<->,144.122.240.161:domain,0,0,1,64,1,64,1.661439000,0.0000
144.75.218.242:38890,<->,102.45.225.190:domain,1,71,0,0,1,71,1.661092000,0.0000
39.148.38.40:46620,<->,124.69.12.108:domain,1,68,0,0,1,68,1.660964000,0.0000
20.59.1.124:55059,<->,207.6.180.170:domain,1,66,0,0,1,66,1.660950000,0.0000
144.75.218.233:27734,<->,8.222.218.204:domain,1,110,0,0,1,110,1.660885000,0.0000
144.75.218.242:40384,<->,8.222.218.204:domain,1,122,0,0,1,122,1.660287000,0.0000
144.75.218.237:44384,<->,8.222.218.204:domain,1,114,0,0,1,114,1.659985000,0.0000
144.75.218.242:10806,<->,8.222.218.204:domain,1,110,0,0,1,110,1.659387000,0.0000
109.222.250.46:59037,<->,110.16.19.26:9074,1,133,0,0,1,133,1.659358000,0.0000
132.200.62.136:36219,<->,132.200.50.12:domain,1,540,0,0,1,540,1.659293000,0.0000
20.182.201.244:61104,<->,141.19.255.22:domain,1,70,0,0,1,70,1.659289000,0.0000
144.76.43.234:47710,<->,80.56.78.94:domain,0,0,1,94,1,94,1.659281000,0.0000
144.75.218.237:33268,<->,120.155.84.97:domain,1,117,0,0,1,117,1.658973000,0.0000
144.75.218.241:57856,<->,8.222.218.196:domain,1,122,0,0,1,122,1.658861000,0.0000
210.220.219.153:50576,<->,136.42.3.53:domain,1,305,0,0,1,305,1.658579000,0.0000
136.25.188.105:62328,<->,135.88.171.34:domain,1,231,0,0,1,231,1.658183000,0.0000
144.75.218.237:41321,<->,8.222.218.199:domain,1,110,0,0,1,110,1.658141000,0.0000
144.75.218.241:53329,<->,139.252.1.253:domain,1,200,0,0,1,200,1.657548000,0.0000
144.75.218.237:63450,<->,156.143.11.242:domain,1,177,0,0,1,177,1.657546000,0.0000
129.175.139.146:65144,<->,29.211.214.254:domain,0,0,1,90,1,90,1.657542000,0.0000
20.3.94.150:46631,<->,220.76.219.196:domain,1,70,0,0,1,70,1.657297000,0.0000
144.75.218.242:46697,<->,8.222.218.199:domain,1,122,0,0,1,122,1.657241000,0.0000
22.73.14.11:55088,<->,109.222.234.11:domain,0,0,1,66,1,66,1.657000000,0.0000
192.64.234.225:60418,<->,125.44.173.36:57553,1,50,0,0,1,50,1.656968000,0.0000
199.20.248.41:59504,<->,129.224.112.252:domain,0,0,1,66,1,66,1.656309000,0.0000
144.75.218.237:37227,<->,8.222.218.197:domain,1,181,0,0,1,181,1.656155000,0.0000
144.75.218.237:8468,<->,141.37.226.95:domain,1,86,0,0,1,86,1.655838000,0.0000
136.25.188.105:62600,<->,135.88.171.34:domain,1,232,0,0,1,232,1.655694000,0.0000
144.75.218.242:60458,<->,8.222.218.199:domain,1,123,0,0,1,123,1.655430000,0.0000
111.150.58.148:58248,<->,138.74.30.45:domain,0,0,1,81,1,81,1.655080000,0.0000
144.75.218.237:54991,<->,8.222.218.204:domain,1,111,0,0,1,111,1.654837000,0.0000
144.75.218.242:63304,<->,8.222.218.204:domain,1,122,0,0,1,122,1.654755000,0.0000
210.158.44.36:64442,<->,129.148.253.17:domain,1,124,0,0,1,124,1.654401000,0.0000
144.75.218.242:63129,<->,8.222.218.204:domain,1,121,0,0,1,121,1.654384000,0.0000
105.200.247.154:41175,<->,98.236.254.250:domain,0,0,1,77,1,77,1.654132000,0.0000
144.75.218.241:iscape,<->,120.155.84.97:domain,1,118,0,0,1,118,1.653775000,0.0000
197.1.230.13:27694,<->,109.1.52.14:6881,0,0,1,135,1,135,1.653519000,0.0000
103.5.47.180:22010,<->,109.222.222.50:domain,0,0,1,66,1,66,1.652481000,0.0000
136.25.188.105:50929,<->,143.194.53.201:domain,1,251,0,0,1,251,1.652165000,0.0000
144.75.218.242:44986,<->,8.222.218.204:domain,1,113,0,0,1,113,1.652151000,0.0000
:::38817,<->,:::domain,1,154,0,0,1,154,1.652138000,0.0000
144.75.218.237:54180,<->,8.222.218.198:domain,1,123,0,0,1,123,1.652049000,0.0000
196.148.128.40:40980,<->,148.157.241.119:radius-acct,1,52,0,0,1,52,1.651483000,0.0000
92.27.27.149:rapidbase,<->,69.175.112.209:netarx,1,99,0,0,1,99,1.651437000,0.0000
56.61.99.23:18261,<->,97.68.226.205:domain,0,0,1,86,1,86,1.651340000,0.0000
93.165.188.179:29428,<->,192.67.179.218:6881,0,0,1,105,1,105,1.650982000,0.0000
248.225.27.2:14186,<->,29.214.217.95:domain,1,141,0,0,1,141,1.650946000,0.0000
8.252.222.232:33466,<->,120.155.86.237:domain,1,134,0,0,1,134,1.650611000,0.0000
144.75.218.242:pds,<->,8.222.218.196:domain,1,114,0,0,1,114,1.650436000,0.0000
144.75.218.237:45495,<->,8.222.218.198:domain,1,111,0,0,1,111,1.649018000,0.0000
8.224.46.33:23129,<->,109.222.242.102:domain,0,0,1,74,1,74,1.648885000,0.0000
125.31.133.96:29825,<->,80.41.32.57:14682,0,0,1,321,1,321,1.648561000,0.0000
136.25.189.210:40784,<->,145.13.164.41:domain,1,111,0,0,1,111,1.647978000,0.0000
158.150.64.93:22944,<->,247.136.209.27:12113,0,0,1,501,1,501,1.647908000,0.0000
39.128.168.188:65203,<->,126.2.6.102:domain,1,96,0,0,1,96,1.647740000,0.0000
144.75.218.246:39402,<->,132.200.124.228:domain,1,155,0,0,1,155,1.647705000,0.0000
144.75.218.246:57645,<->,8.222.218.199:domain,1,123,0,0,1,123,1.647687000,0.0000
144.75.218.246:39875,<->,8.222.218.197:domain,1,110,0,0,1,110,1.647610000,0.0000
50.224.92.54:6358,<->,109.206.164.233:domain,1,161,0,0,1,161,1.647485000,0.0000
144.75.218.241:dbref,<->,8.222.218.207:domain,1,122,0,0,1,122,1.647233000,0.0000
144.75.218.246:4584,<->,8.222.218.197:domain,1,113,0,0,1,113,1.646222000,0.0000
144.75.218.246:i-net-2000-npr,<->,8.222.218.199:domain,1,109,0,0,1,109,1.646167000,0.0000
144.75.218.241:21618,<->,50.149.206.89:domain,1,126,0,0,1,126,1.646038000,0.0000
136.25.188.105:58645,<->,132.5.71.202:domain,1,141,0,0,1,141,1.645734000,0.0000
192.170.179.2:34237,<->,215.158.238.178:12347,0,0,1,1064,1,1064,1.645421000,0.0000
67.219.231.169:17303,<->,145.89.157.42:6881,0,0,1,130,1,130,1.645220000,0.0000
39.144.84.198:31347,<->,194.124.8.102:documentum,1,76,0,0,1,76,1.644286000,0.0000
198.151.3.63:59703,<->,22.59.13.208:domain,0,0,1,72,1,72,1.644161000,0.0000
114.186.133.55:38028,<->,129.224.112.220:domain,0,0,1,86,1,86,1.643727000,0.0000
95.89.187.66:20749,<->,97.126.2.116:domain,0,0,1,66,1,66,1.642561000,0.0000
144.75.218.241:37497,<->,8.222.218.207:domain,1,111,0,0,1,111,1.641977000,0.0000
113.114.28.98:15619,<->,89.183.104.135:6881,0,0,1,52,1,52,1.640328000,0.0000
136.25.189.94:38641,<->,215.158.34.160:12347,1,1064,0,0,1,1064,1.639982000,0.0000
144.75.218.246:versatalk,<->,8.222.218.199:domain,1,157,0,0,1,157,1.638737000,0.0000
120.4.61.182:56307,<->,80.42.191.110:52063,0,0,1,321,1,321,1.638060000,0.0000
144.75.218.246:27484,<->,8.222.218.197:domain,1,109,0,0,1,109,1.637704000,0.0000
77.101.137.113:23101,<->,80.42.181.14:domain,0,0,1,79,1,79,1.637704000,0.0000
92.27.219.227:65178,<->,138.127.224.104:domain,1,371,0,0,1,371,1.637507000,0.0000
144.70.164.220:27019,<->,101.224.172.116:26901,0,0,1,68,1,68,1.637387000,0.0000
159.123.32.28:47712,<->,215.158.2.59:domain,1,89,0,0,1,89,1.636548000,0.0000
144.75.218.237:24717,<->,227.56.35.246:domain,1,150,0,0,1,150,1.636302000,0.0000
144.75.218.237:58430,<->,8.222.218.197:domain,1,157,0,0,1,157,1.636179000,0.0000
20.234.93.132:14182,<->,140.21.17.68:domain,1,68,0,0,1,68,1.635988000,0.0000
144.75.218.237:19699,<->,128.8.21.253:domain,1,159,0,0,1,159,1.635809000,0.0000
144.56.210.43:36325,<->,215.158.238.77:domain,0,0,1,84,1,84,1.635250000,0.0000
105.170.162.64:52524,<->,192.64.101.241:40349,0,0,1,98,1,98,1.634801000,0.0000
144.75.218.233:19153,<->,138.127.230.15:domain,1,366,0,0,1,366,1.634525000,0.0000
39.254.3.217:36889,<->,27.114.181.217:domain,1,88,0,0,1,88,1.633818000,0.0000
144.75.218.241:24137,<->,8.222.218.207:domain,1,123,0,0,1,123,1.633536000,0.0000
100.16.23.197:45584,<->,92.27.219.34:19591,0,0,1,369,1,369,1.633249000,0.0000
144.75.218.246:45999,<->,8.222.218.197:domain,1,123,0,0,1,123,1.632801000,0.0000
144.75.218.246:37926,<->,8.222.218.197:domain,1,111,0,0,1,111,1.632161000,0.0000
144.75.218.235:53564,<->,120.155.84.208:domain,1,150,0,0,1,150,1.632004000,0.0000
144.75.218.235:15739,<->,8.222.218.198:domain,1,122,0,0,1,122,1.631126000,0.0000
144.75.218.242:46793,<->,8.222.218.199:domain,1,123,0,0,1,123,1.629947000,0.0000
144.75.218.242:61942,<->,8.222.218.204:domain,1,110,0,0,1,110,1.629516000,0.0000
101.224.204.193:15746,<->,118.44.93.84:domain,1,227,0,0,1,227,1.629487000,0.0000
111.82.141.173:54460,<->,80.41.15.57:14036,0,0,1,138,1,138,1.629454000,0.0000
144.75.218.237:27019,<->,8.222.218.204:domain,1,110,0,0,1,110,1.628403000,0.0000
80.27.155.182:50473,<->,129.224.112.252:domain,0,0,1,74,1,74,1.628344000,0.0000
92.27.219.39:57932,<->,134.161.237.45:36631,1,52,0,0,1,52,1.627322000,0.0000
89.183.104.171:20313,<->,106.126.137.134:blackjack,1,105,0,0,1,105,1.627095000,0.0000
106.158.67.80:45595,<->,92.27.219.189:41442,0,0,1,52,1,52,1.626298000,0.0000
121.209.106.187:63702,<->,92.27.219.130:35401,0,0,1,99,1,99,1.625717000,0.0000
144.75.218.235:6556,<->,8.222.218.197:domain,1,153,0,0,1,153,1.625614000,0.0000
215.158.103.219:43408,<->,129.223.93.3:domain,1,795,0,0,1,795,1.624806000,0.0000
20.185.113.162:40294,<->,138.86.243.67:domain,1,66,0,0,1,66,1.624630000,0.0000
144.75.218.237:36562,<->,120.155.84.97:domain,1,236,0,0,1,236,1.624612000,0.0000
144.75.218.242:55071,<->,8.222.218.196:domain,1,138,0,0,1,138,1.624611000,0.0000
57.248.174.7:60988,<->,192.67.165.98:54104,0,0,1,52,1,52,1.624344000,0.0000
116.145.113.34:64915,<->,80.41.36.78:15074,0,0,1,130,1,130,1.623068000,0.0000
144.75.218.241:44556,<->,138.127.231.115:domain,1,366,0,0,1,366,1.621956000,0.0000
144.75.218.246:38165,<->,8.222.218.199:domain,1,111,0,0,1,111,1.621685000,0.0000
144.75.218.246:61168,<->,99.168.7.150:domain,1,154,0,0,1,154,1.621659000,0.0000
144.75.218.242:19923,<->,149.224.49.236:domain,1,70,0,0,1,70,1.620104000,0.0000
39.129.92.211:61332,<->,140.145.90.254:domain,1,70,0,0,1,70,1.620014000,0.0000
100.230.7.117:34553,<->,220.82.62.48:33435,0,0,1,50,1,50,1.619799000,0.0000
144.75.218.242:37943,<->,8.222.218.199:domain,1,181,0,0,1,181,1.619601000,0.0000
48.105.201.130:52397,<->,92.27.219.216:39821,0,0,1,1437,1,1437,1.619182000,0.0000
:::37512,<->,:::domain,1,184,0,0,1,184,1.619094000,0.0000
:::32894,<->,:::domain,1,184,0,0,1,184,1.618969000,0.0000
144.75.218.242:23697,<->,8.222.218.196:domain,1,110,0,0,1,110,1.618073000,0.0000
144.75.218.241:41268,<->,8.222.218.207:domain,1,114,0,0,1,114,1.617133000,0.0000
192.67.161.143:46809,<->,105.71.224.108:25607,1,130,0,0,1,130,1.616931000,0.0000
247.136.249.234:51413,<->,124.19.52.147:6881,1,332,0,0,1,332,1.616494000,0.0000
144.75.218.241:38988,<->,8.222.218.207:domain,1,123,0,0,1,123,1.616186000,0.0000
105.113.53.216:5091,<->,97.168.89.179:domain,0,0,1,78,1,78,1.615493000,0.0000
:::29771,<->,:::domain,1,503,0,0,1,503,1.615423000,0.0000
106.42.39.78:59059,<->,89.183.104.235:45028,0,0,1,52,1,52,1.615149000,0.0000
141.95.30.8:58255,<->,144.64.139.146:domain,0,0,1,78,1,78,1.614940000,0.0000
144.75.218.237:21356,<->,120.155.84.97:domain,1,230,0,0,1,230,1.614184000,0.0000
92.27.219.211:60451,<->,29.170.153.193:35064,1,52,0,0,1,52,1.613614000,0.0000
136.25.188.212:39811,<->,122.158.53.79:domain,1,106,0,0,1,106,1.613255000,0.0000
144.75.218.241:11384,<->,8.222.218.196:domain,1,113,0,0,1,113,1.613103000,0.0000
144.75.218.241:46894,<->,8.222.218.196:domain,1,111,0,0,1,111,1.612903000,0.0000
120.190.31.252:41881,<->,133.178.227.4:domain,0,0,1,85,1,85,1.612790000,0.0000
50.213.212.120:36386,<->,109.222.233.46:domain,0,0,1,72,1,72,1.612618000,0.0000
136.25.188.105:59106,<->,132.43.156.54:domain,1,127,0,0,1,127,1.612600000,0.0000
194.248.157.78:37219,<->,80.42.184.239:s3db,0,0,1,273,1,273,1.612563000,0.0000
193.46.99.104:21350,<->,92.27.219.58:6881,0,0,1,129,1,129,1.612422000,0.0000
144.75.218.241:55963,<->,120.155.84.97:domain,1,117,0,0,1,117,1.612352000,0.0000
220.87.90.39:19170,<->,77.10.246.184:15798,1,130,0,0,1,130,1.611286000,0.0000
144.75.218.241:5532,<->,33.238.69.117:domain,1,133,0,0,1,133,1.611165000,0.0000
92.27.27.144:47117,<->,139.252.1.254:domain,1,371,0,0,1,371,1.610345000,0.0000
53.165.88.118:26985,<->,246.253.248.211:domain,0,0,1,87,1,87,1.610302000,0.0000
144.75.218.246:14314,<->,8.222.218.204:domain,1,123,0,0,1,123,1.609775000,0.0000
144.75.218.242:41874,<->,8.222.218.199:domain,1,121,0,0,1,121,1.609431000,0.0000
144.75.218.241:30703,<->,8.222.218.204:domain,1,119,0,0,1,119,1.609068000,0.0000
111.147.103.177:51413,<->,74.143.202.144:vce,1,133,0,0,1,133,1.608962000,0.0000
192.64.245.55:51413,<->,64.145.129.216:15479,1,133,0,0,1,133,1.608688000,0.0000
38.21.156.204:56633,<->,20.232.230.111:netbios-ns,0,0,1,82,1,82,1.608433000,0.0000
158.197.29.201:56191,<->,132.249.70.62:domain,0,0,1,79,1,79,1.608361000,0.0000
144.75.218.237:7486,<->,8.222.218.207:domain,1,123,0,0,1,123,1.608300000,0.0000
21.15.226.126:55104,<->,20.193.23.29:netbios-ns,0,0,1,82,1,82,1.608183000,0.0000
144.75.218.242:43984,<->,53.245.2.193:domain,1,389,0,0,1,389,1.607938000,0.0000
