src,sep,dst,inframes,inbytes,outframes,outbytes,totalframes,totalbytes,relstart,duration
215.158.195.25,<->,53.231.144.135,810,1192427,0,0,810,1192427,0.006975000,1.9783
220.28.109.52,<->,136.25.188.165,0,0,795,1129703,795,1129703,0.021676000,1.5388
220.28.108.254,<->,215.158.238.129,0,0,774,1026156,774,1026156,0.054889000,1.9371
215.158.238.201,<->,139.241.115.236,756,1123027,0,0,756,1123027,1.563196000,0.0813
192.228.25.249,<->,133.178.226.213,0,0,742,1108573,742,1108573,0.122806000,1.7574
133.178.226.55,<->,100.120.38.6,742,1025506,0,0,742,1025506,0.048217000,1.8978
215.158.49.76,<->,136.116.28.231,0,0,741,1099436,741,1099436,0.382935000,1.5863
75.137.133.162,<->,8.252.221.223,0,0,741,44400,741,44400,0.004117000,1.9929
210.220.218.45,<->,14.27.112.67,732,1051554,0,0,732,1051554,0.043235000,1.5361
119.131.135.20,<->,92.168.217.252,0,0,719,40264,719,40264,0.030908000,1.9666
60.101.121.79,<->,8.252.221.220,0,0,717,53000,717,53000,0.007542000,1.9784
133.8.10.152,<->,33.233.141.28,0,0,715,1070337,715,1070337,0.140087000,1.6552
58.242.207.11,<->,8.252.222.241,0,0,702,57544,702,57544,0.010929000,1.9869
215.158.140.202,<->,98.219.126.140,682,990371,0,0,682,990371,0.037861000,0.2101
215.158.238.130,<->,145.116.206.214,672,40296,0,0,672,40296,0.001090000,1.9976
53.231.94.20,<->,33.233.141.47,0,0,667,981819,667,981819,0.032316000,1.3037
53.231.94.186,<->,33.233.141.19,0,0,665,987326,665,987326,0.968435000,0.9829
58.51.8.74,<->,8.252.221.230,0,0,662,40527,662,40527,0.000893000,1.9893
111.20.168.11,<->,72.210.211.251,660,992435,0,0,660,992435,1.736969000,0.1305
58.203.253.82,<->,8.252.221.197,0,0,656,49110,656,49110,0.044049000,1.9209
220.20.200.40,<->,113.173.246.17,653,981542,0,0,653,981542,0.100253000,1.2779
108.39.231.205,<->,50.224.105.35,0,0,651,42312,651,42312,0.014376000,1.9573
101.235.68.176,<->,8.20.81.65,645,954833,0,0,645,954833,1.233136000,0.4406
220.28.65.9,<->,215.158.140.234,0,0,645,932039,645,932039,0.323144000,1.2135
69.243.203.69,<->,8.252.222.126,0,0,632,47556,632,47556,0.066980000,1.7872
