frame.number,frame.time,ip.src,ip.dst,ip.proto,frame.len,_ws.col.Info
"38","Apr 22, 2011 13:23:54.406845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"39","Apr 22, 2011 13:23:54.437845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"40","Apr 22, 2011 13:23:54.467845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=6388 Win=3592 Len=0"
"41","Apr 22, 2011 13:23:54.498845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=6924 Win=3056 Len=0"
"42","Apr 22, 2011 13:23:54.512845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=6924 Win=3592 Len=0"
"43","Apr 22, 2011 13:23:54.516845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=6924 Win=4128 Len=0"
"44","Apr 22, 2011 13:23:55.247845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"45","Apr 22, 2011 13:23:55.326845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=7460 Win=3592 Len=0"
"46","Apr 22, 2011 13:23:55.339845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=7460 Win=4128 Len=0"
"47","Apr 22, 2011 13:23:56.030845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"48","Apr 22, 2011 13:23:56.061845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"49","Apr 22, 2011 13:23:56.108845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=7996 Win=3592 Len=0"
"50","Apr 22, 2011 13:23:56.109845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=8532 Win=3056 Len=0"
"51","Apr 22, 2011 13:23:56.133845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=8532 Win=3592 Len=0"
"52","Apr 22, 2011 13:23:56.134845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=8532 Win=4128 Len=0"
"53","Apr 22, 2011 13:23:56.715845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"54","Apr 22, 2011 13:23:56.783845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=9068 Win=3592 Len=0"
"55","Apr 22, 2011 13:23:56.818845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=9068 Win=4128 Len=0"
"56","Apr 22, 2011 13:23:56.901845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"57","Apr 22, 2011 13:23:56.943845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=9604 Win=3592 Len=0"
"58","Apr 22, 2011 13:23:56.959845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=9604 Win=4128 Len=0"
"59","Apr 22, 2011 13:23:57.532845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"60","Apr 22, 2011 13:23:57.611845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=10140 Win=3592 Len=0"
"61","Apr 22, 2011 13:23:57.630845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"62","Apr 22, 2011 13:23:57.647845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=10140 Win=4128 Len=0"
"63","Apr 22, 2011 13:23:57.683845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=10676 Win=3592 Len=0"
"64","Apr 22, 2011 13:23:57.717845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=10676 Win=4128 Len=0"
"65","Apr 22, 2011 13:23:58.353845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"66","Apr 22, 2011 13:23:58.502845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=11212 Win=3592 Len=0"
"67","Apr 22, 2011 13:23:58.565845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK] Seq=162 Ack=11212 Win=4128 Len=0"
"68","Apr 22, 2011 13:23:59.141845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"69","Apr 22, 2011 13:23:59.211845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"70","Apr 22, 2011 13:23:59.289845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=11748 Win=3592 Len=0"
"71","Apr 22, 2011 13:23:59.318845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=12284 Win=3056 Len=0"
"72","Apr 22, 2011 13:23:59.371845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=12284 Win=3592 Len=0"
"73","Apr 22, 2011 13:23:59.395845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=12284 Win=4128 Len=0"
"74","Apr 22, 2011 13:23:59.952845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"75","Apr 22, 2011 13:24:00.033845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=12820 Win=3592 Len=0"
"76","Apr 22, 2011 13:24:00.078845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=12820 Win=4128 Len=0"
"77","Apr 22, 2011 13:24:00.753845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"78","Apr 22, 2011 13:24:00.800845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"79","Apr 22, 2011 13:24:00.821845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=13356 Win=3592 Len=0"
"80","Apr 22, 2011 13:24:00.856845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK, ECN] Seq=162 Ack=13892 Win=3056 Len=0"
"81","Apr 22, 2011 13:24:00.888845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=13892 Win=3592 Len=0"
"82","Apr 22, 2011 13:24:00.921845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","[TCP Window Update] 46557→80 [ACK, ECN] Seq=162 Ack=13892 Win=4128 Len=0"
"83","Apr 22, 2011 13:24:01.648845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"84","Apr 22, 2011 13:24:01.707845000 Central Daylight Time","1.1.12.1","1.1.23.3","6","590","[TCP segment of a reassembled PDU]"
"85","Apr 22, 2011 13:24:01.721845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=14428 Win=3592 Len=0"
"86","Apr 22, 2011 13:24:01.747845000 Central Daylight Time","1.1.23.3","1.1.12.1","6","60","46557→80 [ACK] Seq=162 Ack=14964 Win=3056 Len=0"
