src,<->,dest,in_frames,in_bytes,out_frames,out_bytes,total_frames,total_bytes,rel_start,duration
118.224.132.179,<->,109.1.22.16,0,0,1,138,1,138,1.483896000,0.0000
137.69.196.172,<->,8.52.169.61,0,0,1,50,1,50,1.483778000,0.0000
207.72.252.122,<->,39.15.169.14,0,0,1,86,1,86,1.483756000,0.0000
131.103.129.114,<->,20.159.36.64,0,0,1,52,1,52,1.483616000,0.0000
100.182.99.11,<->,20.179.124.241,0,0,1,52,1,52,1.483558000,0.0000
54.39.184.254,<->,48.55.119.121,0,0,1,50,1,50,1.483383000,0.0000
116.106.35.71,<->,8.52.136.253,0,0,1,1002,1,1002,1.483281000,0.0000
126.232.52.51,<->,20.108.97.31,0,0,1,64,1,64,1.483249000,0.0000
215.158.239.58,<->,195.5.208.21,1,50,0,0,1,50,1.482766000,0.0000
93.181.153.59,<->,92.27.219.155,0,0,1,56,1,56,1.482472000,0.0000
241.193.172.231,<->,20.162.203.103,0,0,1,50,1,50,1.482287000,0.0000
159.87.104.238,<->,138.127.198.233,1,75,0,0,1,75,1.482149000,0.0000
215.158.239.57,<->,195.83.80.21,1,56,0,0,1,56,1.482149000,0.0000
235.229.204.198,<->,92.27.27.153,0,0,1,62,1,62,1.482046000,0.0000
143.234.10.140,<->,8.182.138.83,0,0,1,50,1,50,1.481902000,0.0000
159.69.187.29,<->,144.108.80.172,1,71,0,0,1,71,1.481839000,0.0000
144.75.218.235,<->,140.142.131.1,1,77,0,0,1,77,1.481780000,0.0000
215.158.199.224,<->,138.73.248.205,0,0,1,129,1,129,1.481410000,0.0000
56.112.226.51,<->,8.176.34.109,0,0,1,50,1,50,1.481356000,0.0000
215.158.239.92,<->,207.115.73.228,1,56,0,0,1,56,1.480725000,0.0000
126.232.54.214,<->,20.54.106.172,0,0,1,64,1,64,1.480630000,0.0000
97.168.67.236,<->,63.255.106.50,1,80,0,0,1,80,1.480528000,0.0000
255.133.229.164,<->,98.67.154.65,0,0,1,100,1,100,1.480318000,0.0000
231.143.102.160,<->,136.25.188.220,0,0,1,50,1,50,1.480210000,0.0000
199.81.234.44,<->,136.25.188.223,0,0,1,56,1,56,1.480177000,0.0000
136.18.96.147,<->,8.183.25.124,0,0,1,50,1,50,1.480151000,0.0000
199.15.133.244,<->,136.25.188.227,0,0,1,602,1,602,1.480105000,0.0000
148.177.30.57,<->,39.193.207.217,0,0,1,1257,1,1257,1.480081000,0.0000
92.27.219.140,<->,91.231.209.45,1,89,0,0,1,89,1.479986000,0.0000
